Claim Text  Veracity  Category  Published Date
JUULing, or use of a JUUL e-cigarette, has caused cancer in four students.	False	Medical	2018-03-09
Tee markers emblazoned with the U.S. presidential seal were manufactured for and installed at a golf course owned by the Trump Organization.	True	Politicians	2018-03-08
The U.S. has a global trade deficit of $800 billion.	False	Politics	2018-03-09
London closed 500 churches and opened 423 new mosques.	False	Religion	2018-03-08
A federal appeals court has ordered that Barack Obama repay $400 million to the American people.	False	Fake News	2018-03-11
Former California state senator Leland Yee, a gun control advocate, was arrested for gun trafficking.	True	Politics	2018-03-05
Coca-Cola and Nestle are negotiating with the Brazilian government to privatize the Guarani Aquifier in South America.	False	Politics	2018-03-06
A photograph shows a jumping baby elephant.	False	Fauxtography	2018-03-05
Billionaire investor and former Trump adviser Carl Icahn sold off approximately $30 million worth of stock in a steel-dependent company in the weeks leading up to the president's announcement of tariffs on steel imports.	True	Politics	2018-03-07
An image shows the Kray twins starting their organized crime "reign of terror" in London by robbing a tram with the help of an elephant.	False	Fauxtography	2018-03-07
A photograph shows a young girl in South Africa who had a "Joker smile" carved into her face.	False	Fauxtography	2018-03-06
Michele Bachmann said during an appearance on "Fox & Friends" that Jesus created assault rifles.	False	Fake News	2018-03-08
Vibrant Body Company staged an online bra promotion as a front for human trafficking.	False	Inboxer Rebellion	2018-03-02
Police in Seattle took a man's gun away from him without a warrant.	False	Crime	2018-03-07
Hundreds attended a church ceremony blessing AR-15s.	True	Religion	2018-03-01
CNN invested in an industrial-sized washing machine to help their journalists and news anchors spin the news before publication.	False	Humor	2018-03-01
Katie Flynn was decapitated while wearing a seat belt, in a 2005 car crash on Long Island, New York.	True	Crime	2018-03-02
President Donald Trump decided to ban schools in an effort to curb school shootings.	False	Politics	2018-03-03
An emergency medical responder said he was given a "stand down" order during the mass shooting in Parkland, Florida.	False	Viral Phenomena	2018-03-03
ABC fired Joy Behar from her job co-hosting "The View" after she made comments about Vice President Mike Pence's religious beliefs.	False	Fake News	2018-03-05
Melania Trump plagiarized her statement on Women's History Month from Michelle Obama.	False	Questionable Quotes	2018-03-05
Pope Francis forgave 4,444 "pedophile priests" in Australia and participated in a coverup of their crimes.	False	Fake News	2018-03-06
David Hogg posted a homophobic slur on Twitter in June 2016.	False	Fake News	2018-03-02
Extreme hackers are gaining control of people's personal information via links to web sites offering Facebook users the opportunity to see what they look like bald, or as a member of the opposite sex, etc.	False	Viral Phenomena	2018-02-28
A transgender boy won a state title in girls' high school wrestling.	True	Uncategorized	2018-03-01
President Trump's daughter Ivanka has been fired from her position at the White House.	False	Fake News	2018-03-01
The vice president of Pfizer said human papillomavirus vaccine Gardasil is "deadly."	False	Viral Phenomena	2018-03-01
A worker at a British dairy that produces Anchor Butter contaminated the company's products with HIV-infected blood.	False	Food	2018-03-01
HUD Secretary Ben Carson bought a $31,000 dining set and billed taxpayers for it.	True	Politics	2018-03-01
A gay man renounced homosexuality after a near-death experience.	False	Fake News	2018-02-26
Hollywood film producer and alleged sexual predator Harvey Weinstein shot and killed himself in a Scottsdale, Arizona, hotel room.	False	Fake News	2018-03-01
Senator Chuck Schumer has a concealed weapons permit.	False	Politics	2018-02-28
Delta Airlines gives members of Planned Parenthood discounted rates on air travel.	False	Politics	2018-03-01
Senator Marco Rubio said both that felons should not be allowed to vote and that they should be allowed to own guns.	False	Fake News	2018-02-27
A local identification card program in Chicago would allow undocumented immigrants to vote in United States elections.	False	Uncategorized	2018-02-28
A worker at Cadbury plant was arrested for contaminating the company's products with HIV-infected blood.	False	Fact Check	2018-02-25
"Hit the Nigger Baby" was once a popular attraction at fairgrounds in the United States.	True	History	2018-02-26
Former U.S. president Barack Obama has announced a bid to become Secretary General of the United Nations.	False	Fake News	2018-02-25
In Iowa, blind people are legally allowed to own and possess firearms.	True	Legal Affairs	2018-02-27
The military has secretly drawn up plans to round up large numbers of privately-owned firearms from American gun owners.	False	Fake News	2018-02-26
The NRA is a tax-exempt nonprofit organization.	True	Politics	2018-02-23
A photograph shows Carl Sagan holding a sign reading "No Billboards in Space."	False	Fauxtography	2018-02-26
The National Rifle Association supported the passage of a 1967 bill in the California legislature banning the open carry of loaded firearms in public.	True	Politics	2018-02-26
The NRA sent Wisconsin Supreme Court candidates a letter urging them to submit a "position statement" on gun rights, or risk opposition from NRA members in the state.	True	Politics	2018-02-22
Oxford professor of Islamic studies Tariq Ramadan said "we are here to colonize the U.S. and Canada" with Sharia law.	False	Racial Rumors	2018-02-22
First Lady Melania Trump demanded that the White House be exorcised of "demonic idols and images" allegedly left there by the Obamas before she would enter it.	False	Politics	2018-02-22
School walkouts and protests are planned in response to the Parkland school shooting on 14 February 2018, which killed seventeen people.	True	Politics	2018-02-22
Ruth Bader Ginsburg said that pedophilia was good for children.	False	Questionable Quotes	2018-02-26
Congresswoman Maxine Waters tweeted that there was no reason for anyone to own a gun because she has an armed security detail.	False	Fake News	2018-02-20
A high school student pretended to be transgender so that he could take showers in the girls' locker room during gym class.	False	Fake News	2018-02-23
A photograph shows President Trump holding crib notes during a listening session with survivors of the Parkland, Florida, school shooting.	True	Fauxtography	2018-02-22
News stories about a mass shooting at a Florida high school were timestamped days earlier than 14 February 2018, which prove that the mass shooting was actually a "false flag" hoax.	False	Uncategorized	2018-02-20
